id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44475543,La rose,124060044,Wana,,Ville-Marie,45.49389,-73.58219,Entire home/apt,65,1,16,2021-09-12,1.45,4,353,14,
44476752,Le château,131206065,Wana,,Ville-Marie,45.49252,-73.58203,Entire home/apt,83,1,11,2021-09-21,1.30,3,356,11,
44477526,Nice studio well located in the heart of Plateau,18193741,Elsheba,,Le Plateau-Mont-Royal,45.52828,-73.57175,Entire home/apt,70,1,1,2020-08-09,0.07,1,0,0,
44488422,Chambre dans Villeray  à 2 pas du métro Jarry,22011042,Marielle,,Villeray-Saint-Michel-Parc-Extension,45.54409,-73.62984,Private room,55,1,2,2021-09-01,0.43,1,286,2,
44489741,Le Bijou Airhome Entire Brand new Two-Bedroom,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.4639,-73.61689,Entire home/apt,104,1,30,2021-08-25,3.72,30,358,24,
44489851,LeBijou AirHome Two King Size Bedroom Luxury Suite,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46355,-73.61593,Entire home/apt,115,1,29,2020-08-04,2.08,30,350,17,
44490030,Le Bijou Airhome Brand New Deluxe 2-Bedroom Queen,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46546,-73.61546,Entire home/apt,99,1,54,2021-09-06,4.08,30,356,43,
44490243,Le Bijou Airhome Brand New 2-Bedroom Discounted,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46543,-73.61565,Private room,98,1,33,2021-08-22,2.39,30,346,28,
44490346,Le Bijou Brand-new Two Bedrooms Suites,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46556,-73.61554,Entire home/apt,108,1,25,2021-08-23,1.89,30,359,18,
44490520,Le Bijou Luxury Brand New Designer 2-bedroom,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46548,-73.61519,Entire home/apt,104,1,25,2021-08-23,1.73,30,351,19,
44490707,Beautiful Brand new unit next to Parc mount royal,221082834,Roy,,Le Plateau-Mont-Royal,45.51792,-73.5893,Entire home/apt,100,1,8,2020-11-24,0.55,1,10,4,
44492651,OLD MONTREAL LOFT | NEAR IT ALL,250774835,Ricky,,Ville-Marie,45.50163,-73.554,Entire home/apt,123,1,130,2021-06-02,9.49,17,33,104,
44502286,"Plateau Mont-Royal, central",8562430,Johanne,,Le Plateau-Mont-Royal,45.51712,-73.57313,Entire home/apt,90,3,0,,,1,317,0,
44502934,Cozy sur Montréal Nord,28034563,Mathias,,Montréal-Nord,45.59169,-73.63141,Entire home/apt,64,1,4,2020-09-30,0.29,1,0,0,
44517436,Splendide 3 1/2 à louer!,319911981,Isabelle,,Ahuntsic-Cartierville,45.54896,-73.64788,Entire home/apt,87,31,2,2021-03-28,0.23,7,321,2,
44520728,9～12月出租 三个半  最好租3～4个月,224388655,Yifei,,Ville-Marie,45.49405,-73.57559,Entire home/apt,45,90,0,,,1,293,0,
44522444,Bright Montréal Entire Apt - Udem /Cote-des-neiges,73334032,Harpreet,,Outremont,45.50689,-73.61628,Entire home/apt,66,15,8,2021-05-30,0.59,1,299,4,
44528306,Cosy room in a boho-chic apartment,50692302,Julie,,Le Plateau-Mont-Royal,45.53257,-73.5693,Private room,93,1,17,2021-08-19,1.93,1,176,15,
44538330,Small room,51995354,Sandor,,Verdun,45.47057,-73.56954,Private room,30,1,5,2021-08-28,2.46,2,351,5,
44539161,Downtown Montreal luxe condo for rent,49718974,Yangzi,,Ville-Marie,45.49538,-73.56973,Entire home/apt,75,180,0,,,1,173,0,
44539166,Au coeur du Vieux Montréal!,359479247,Jean Michel,,Ville-Marie,45.50407,-73.5549,Entire home/apt,150,180,0,,,1,365,0,
44553363,Unique Duplex + parking in Mont-Royal Plateau,223679880,Kasbastays,,Le Plateau-Mont-Royal,45.51855,-73.57413,Entire home/apt,164,30,3,2020-11-28,0.42,66,251,2,
44561092,Beautiful and Bright 1 BR Home Near All Services,6203889,Gabriel,,Mercier-Hochelaga-Maisonneuve,45.60011,-73.52037,Entire home/apt,99,4,13,2020-12-29,0.92,4,317,10,
44569974,Luxury 3 1/2 Condo in Mcgill University Compus,360684503,Cathy,,Le Plateau-Mont-Royal,45.50793,-73.57786,Entire home/apt,69,2,1,2020-10-13,0.08,1,0,0,
44573856,Grand Appartement calme en plein milieu du Plateau,48260378,Fab,,Le Plateau-Mont-Royal,45.53293,-73.56827,Entire home/apt,100,3,0,,,1,0,0,
44574038,↳Sublime Old Montreal 2BDRM + 1BATH Condo!,123977554,Espace,,Ville-Marie,45.5013,-73.5563,Entire home/apt,221,2,17,2021-10-11,17,4,237,16,
44576789,Le Bijou New Design Two Bedrooms Suits,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46379,-73.61751,Private room,98,1,56,2021-10-02,4.08,30,358,37,
44577463,Joyful & Bright ✧ Wi-Fi + Workspace and Desk ✓,276668474,Christophe,,Mercier-Hochelaga-Maisonneuve,45.54986,-73.54819,Entire home/apt,146,2,18,2021-10-07,1.29,3,179,16,
44588161,Au coeur du plateau ! Chambre sur rue Laurier,313471580,Nicolas,,Le Plateau-Mont-Royal,45.53572,-73.58173,Private room,50,1,1,2020-09-05,0.07,1,69,0,
44616426,Luxurious condo  at heart of Griffintown,268071058,Vicky,,Le Sud-Ouest,45.49154,-73.55935,Entire home/apt,125,6,5,2021-09-05,2.50,2,348,4,
44627944,Beautiful Montreal Condo,257392073,Veronika,,Ville-Marie,45.49686,-73.57404,Entire home/apt,150,60,0,,,2,37,0,
44628351,Spacious Hipster Cave next to Subway+streetparking,171534415,Lu,,Le Plateau-Mont-Royal,45.52606,-73.58234,Entire home/apt,108,2,12,2021-10-02,12,3,201,12,
44628609,Stylish & Central - Parking + Sleeps 13 + Balcony,8414446,Artie,,Le Plateau-Mont-Royal,45.513348,-73.570999,Entire home/apt,229,1,36,2021-09-22,2.52,9,56,28,
44634112,Chambre dans un quartier calme,12966839,Marine,,Le Plateau-Mont-Royal,45.52101,-73.56965,Private room,50,14,5,2021-03-07,0.63,1,330,3,
44648002,"Rustic and Luxury, amalgamated",2364680,Trevor,,Saint-Laurent,45.52786,-73.69434,Private room,54,4,12,2021-09-22,2.63,3,347,11,302939
44651065,Charmant 3 1/2 - Proche du centre-ville,224727216,Ndioro Hélène,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49555,-73.60749,Entire home/apt,50,20,0,,,1,0,0,
44660858,Sunny appartement plateau mont-royal 15$ parking,316813523,Servimax,,Le Plateau-Mont-Royal,45.52576,-73.58436,Entire home/apt,377,2,32,2021-08-20,2.43,10,247,24,
44662979,Logement 1 chambre à deux pas du marché Jean Talon,132383182,Mat,,Rosemont-La Petite-Patrie,45.53506,-73.61738,Entire home/apt,45,32,0,,,1,0,0,
44663522,Le Bijou New Design Luxury Two Bedroom Suite,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46434,-73.61723,Entire home/apt,102,1,26,2020-08-14,1.83,30,349,18,
44663564,Le Bijou Airhome brand new Designer Two Bedroom,162579704,Lily,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46574,-73.61713,Entire home/apt,99,1,28,2021-09-05,7.64,30,348,23,
44666832,Very Nice Apartment in the heart of Montreal,361658923,Eya,,Ville-Marie,45.51009,-73.56029,Entire home/apt,190,2,23,2021-09-19,1.62,1,0,16,
44667680,Chic*brand-new*2 bdr Queen*gym 24/7,341788646,Buzz,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46426,-73.61523,Entire home/apt,106,1,32,2021-04-17,2.46,11,162,29,
44682273,"private room in a spacious apartment, w breakfast!",46285142,Romain,,Le Plateau-Mont-Royal,45.52057,-73.57348,Private room,45,1,6,2020-09-20,0.44,1,0,0,
44683294,Amazing 2 bedrooms flat 15 mns away from downtown,109258417,Marwen,,Verdun,45.46481,-73.5738,Entire home/apt,89,365,2,2021-08-31,0.16,2,180,1,
